Headline,Service Provider,Rating,Review Text,Place,Type,cleaned_rev,overall_sentiment,positive_score,neutral_score,negative_score,positive_aspects,negative_aspects
Hassle free policy with full insured,FUTURE GENERALI GENERAL INSURANCE,4,Because the premium price is less i have taken the car insurance from Future Generali. They have provided me a coverage amount of Rs. 5.50 lakhs and i have done the comparison between differnece policies and i have chosen this. I do not have any claim experience. I paid the premium amount of Rs. 23000 for the first year.,kolkata,Car Insurance,Because the premium price is less i have taken the car insurance from Future Generali They have provided me a coverage amount of Rs 550 lakhs and i have done the comparison between differnece policies and i have chosen this I do not have any claim experience I paid the premium amount of Rs 23000 for the first year,neutral,0.11,0.77,0.12,premium price,
Traditional Insurance Policy,ROYAL SUNDARAM GENERAL INSURANCE,5,"I don't have online option to renew the car policy with Royal Sundaram, every time I need to visit to the dealer place this process is not convenient. But the cost is reasonable, last year I paid around Rs.12,000 for one year I took zero depreciation bumper to bumper plan which has good insured value however I don't think so they have no claim bonus feature.",coimbatore,Car Insurance,I do not have online option to renew the car policy with Royal Sundaram every time I need to visit to the dealer place this process is not convenient But the cost is reasonable last year I paid around Rs12000 for one year I took zero depreciation bumper to bumper plan which has good insured value however I do not think so they have no claim bonus feature,positive,0.89,0,0.11,cost,"Royal Sundaram, process"
Satisfactory,IFFCO TOKIO GENERAL INSURANCE,4,"Iffco Tokio is good and haven't claimed any time but the insurance premium is very cheaper than Kotak. The benefits are average. Its been longer time and have taken a first party insurance. The policy period is one year. I have paid around 5K, when my vehicle was bought in the year of 2013.",mumbai,Car Insurance,Iffco Tokio is good and have not claimed any time but the insurance premium is very cheaper than Kotak The benefits are average Its been longer time and have taken a first party insurance The policy period is one year I have paid around 5K when my vehicle was bought in the year of 2013,positive,0.99,0,0.01,"benefits, Iffco Tokio, insurance premium",
Good,SBI GENERAL INSURANCE,5,I have taken a car insurance in SBI GENERAL INSURANCE . The policy is for 4 years. I am paying premium in monthly package. While getting a policy my agent has given an information about the policy details. I visit to bank to provide cash for the payment.,jaipur,Car Insurance,I have taken a car insurance in SBI GENERAL INSURANCE The policy is for 4 years I am paying premium in monthly package While getting a policy my agent has given an information about the policy details I visit to bank to provide cash for the payment,neutral,0.04,0.96,0,,
AVERAGE,ORIENTAL INSURANCE,3,"I had a claim experience with the ORIENTAL INSURANCE where the claim settlement was delayed for more days also i am not satisfied with the claim. The customer support is not good and not supported. The premium was nominal, idv value is good, coverage is for b to b.",hyderabad,Car Insurance,I had a claim experience with the ORIENTAL INSURANCE where the claim settlement was delayed for more days also i am not satisfied with the claim The customer support is not good and not supported The premium was nominal idv value is good coverage is for b to b,negative,0.06,0,0.94,"coverage, value","customer support, ORIENTAL INSURANCE, claim"
GOOD,BAJAJ ALLIANZ GENERAL INSURANCE,4,I have taken the car insurance policy with BAJAJ ALLIANZ GENERAL INSURANCE where i had no claim experience also the policy coverage is for comprehensive added on that the premium paid was nominal also the IDV value is good with the policy.,hyderabad,Car Insurance,I have taken the car insurance policy with BAJAJ ALLIANZ GENERAL INSURANCE where i had no claim experience also the policy coverage is for comprehensive added on that the premium paid was nominal also the IDV value is good with the policy,positive,0.98,0.01,0,IDV value,
Average Insurance,NATIONAL INSURANCE,4,Chosen my car insurance from National insurance without any reason. My claim experience is good and within 15 days i got my claim and they have covered upto 40%. Through online i used to renew the policy. Their customer service is not helpful.,pune,Car Insurance,Chosen my car insurance from National insurance without any reason My claim experience is good and within 15 days i got my claim and they have covered upto 40 Through online i used to renew the policy Their customer service is not helpful,negative,0.02,0,0.98,claim experience,customer service
   .,BAJAJ ALLIANZ GENERAL INSURANCE,3,I got the car insurance through dealer with Bajaj Allianz. The claim process was good and they do settlements directly with the dealer. I did not face any troubles in getting the claims. It was a first party insurance and had Nissan. I was associated with this insurer for only 3 to 4months.,gurgaon,Car Insurance,I got the car insurance through dealer with Bajaj Allianz The claim process was good and they do settlements directly with the dealer I did not face any troubles in getting the claims It was a first party insurance and had Nissan I was associated with this insurer for only 3 to 4months,positive,0.99,0,0.01,claim process,
Good in claim settlement,NEW INDIA ASSURANCE,5,"Last year I met with an accident, they done it very well. My car front bumper and radiator was damaged, I got the cash less garages the just taken  one week of time to reflect the issue. I paid the premium of 11,000 for zero depreciation plan its fully covered.",ghaziabad,Car Insurance,Last year I met with an accident they done it very well My car front bumper and radiator was damaged I got the cash less garages the just taken one week of time to reflect the issue I paid the premium of 11000 for zero depreciation plan its fully covered,negative,0,0,0.99,,radiator
Premium should be reduced,ICICI LOMBARD GENERAL INSURANCE,5,"I took car policy from ICICI Lombard, the policy cost is bit higher compared to others. I paid premium around Rs. 18,000 for one year comprehensive plan. It would be great if they reduced the cost of the premium  so that many customer can avail their service.",noida,Car Insurance,I took car policy from ICICI Lombard the policy cost is bit higher compared to others I paid premium around Rs 18000 for one year comprehensive plan It would be great if they reduced the cost of the premium so that many customer can avail their service,positive,1,0,0,,
Needs improvement on the claim process,NEW INDIA ASSURANCE,4,I had chosen New India Assurance for my car insurance because I know a employee so I get some waiver off on the premium. I had claims on my previous car and the experience was not good. They need to improve on the benefits because I need to pay first for the cliam process then they send a cheque after 1 or 1.5 months that too after analyzing. I get 80% and sometimes 85% of the claim.,gurgaon,Car Insurance,I had chosen New India Assurance for my car insurance because I know a employee so I get some waiver off on the premium I had claims on my previous car and the experience was not good They need to improve on the benefits because I need to pay first for the cliam process then they send a cheque after 1 or 15 months that too after analyzing I get 80 and sometimes 85 of the claim,positive,0.53,0,0.47,experience,
Good Experience,,5,"I purchased zero depreciation car insurance  with New India Assurance, the cost is reasonable. Last year I paid the premium of Rs. 14,000 for one year policy its for  four years old car. They got tie up with many service centers,  the service is good I can reach at any time.",mumbai,Car Insurance,I purchased zero depreciation car insurance with New India Assurance the cost is reasonable Last year I paid the premium of Rs 14000 for one year policy its for four years old car They got tie up with many service centers the service is good I can reach at any time,positive,1,0,0,"service, cost",
Useful Policy,ROYAL SUNDARAM GENERAL INSURANCE,5,"My agency people where i took the car, they have proposed the policy from Royal Sundaram. I paid the premium amount of Rs. 13K nearly. My claim experience is very good and they have processed the claim within 1 day and its a 100% covered policy and i didn't pay anything from my pocket.",coimbatore,Car Insurance,My agency people where i took the car they have proposed the policy from Royal Sundaram I paid the premium amount of Rs 13K nearly My claim experience is very good and they have processed the claim within 1 day and its a 100 covered policy and i did not pay anything from my pocket,positive,0.99,0.01,0,,
"For new car, don't go for it",UNITED INDIA INSURANCE,4,"The amount they are charging is less thats the reason i opted the car insurance policy from united India. I pay the premium amount of Rs. 2500. This is a third party insurance policy. Through consultancy, i used to renew my policy. I have not applied for any claim so far.",bangalore,Car Insurance,The amount they are charging is less that is the reason i opted the car insurance policy from united India I pay the premium amount of Rs 2500 This is a third party insurance policy Through consultancy i used to renew my policy I have not applied for any claim so far,neutral,0.15,0.58,0.28,,amount
"Whichever policy, Go for Zero dept",HDFC ERGO GENERAL INSURANCE,4,"My car insurance policy was with HDFC ergo because it was recommended by my dealer. I had claim experience and it was cashless and good. I did not pay anything from my pocket within 3 days, they have processed the claim and handed over my vehicle. It was a zero depreciation policy.",greater noida,Car Insurance,My car insurance policy was with HDFC ergo because it was recommended by my dealer I had claim experience and it was cashless and good I did not pay anything from my pocket within 3 days they have processed the claim and handed over my vehicle It was a zero depreciation policy,positive,0.54,0.01,0.45,,
Good policy ,ICICI LOMBARD GENERAL INSURANCE,3,"Every time, i used to visit their showroom to renew my car insurance policy. I'm receiving the no claim bonus.  This is a bumper to bumper covered policy. I pay the premium amount of Rs. 10000 and I'm not sure about the IDV value. They are providing the hard copy of the documents immediately. I do not have any claim experience.",greater noida,Car Insurance,Every time i used to visit their showroom to renew my car insurance policy I Am receiving the no claim bonus This is a bumper to bumper covered policy I pay the premium amount of Rs 10000 and I Am not sure about the IDV value They are providing the hard copy of the documents immediately I do not have any claim experience,negative,0.01,0.01,0.98,,
Good,HDFC ERGO GENERAL INSURANCE,4,"HDFC ERGO GENERAL INSURANCE is the company where I have taken the car insurance policy for life time policy, the premium amount is nominal I use to yearly basis. I use to do payment through an online. Their service is good. They used to process the claim as soon as possible and they will take care of the claim.",hyderabad,Car Insurance,HDFC ERGO GENERAL INSURANCE is the company where I have taken the car insurance policy for life time policy the premium amount is nominal I use to yearly basis I use to do payment through an online Their service is good They used to process the claim as soon as possible and they will take care of the claim,positive,0.99,0.01,0,service,
Should be transparent,ROYAL SUNDARAM GENERAL INSURANCE,1,"I met with an accident, I had to get it claim because I have Royal Sundaram car policy it was bumper to bumper at the time of enrollment they said its fully covered. But when I went for the claim, the insurer said car engine was not covered. Then I fought with Royal sundaram Insurance company. They quoted 1.40 lakh claim value and they made me to pay Rs. 70,000 from my end. However the additional cost of engine protection is just around Rs. 400 but I paid the premium of Rs. 20,000. I am very disappointed with them because they are not transparent. So I suggest to all, before going policy make sure whether its fully covered.",chennai,Car Insurance,I met with an accident I had to get it claim because I have Royal Sundaram car policy it was bumper to bumper at the time of enrollment they said its fully covered But when I went for the claim the insurer said car engine was not covered Then I fought with Royal sundaram Insurance company They quoted 140 lakh claim value and they made me to pay Rs 70000 from my end However the additional cost of engine protection is just around Rs 400 but I paid the premium of Rs 20000 I am very disappointed with them because they are not transparent So I suggest to all before going policy make sure whether its fully covered,negative,0,0,1,,car engine
Policy not up to the mark,ROYAL SUNDARAM GENERAL INSURANCE,3,"The policy was overall good but end of the day i was not satisfied with the policy. When i purchase the policy, they said its a zero depreciation policy and its nil  dept. But when i applied the claim, they have given me a claim only for 50%. In that, my car steering was not covered, Some engine parts and bumper was not covered.",hyderabad,Car Insurance,The policy was overall good but end of the day i was not satisfied with the policy When i purchase the policy they said its a zero depreciation policy and its nil dept But when i applied the claim they have given me a claim only for 50 In that my car steering was not covered Some engine parts and bumper was not covered,negative,0.13,0,0.87,policy,"bumper, policy"
GOOD,NEW INDIA ASSURANCE,4,I have bee using the car insurance policy with NEW INDIA ASSURANCE where the customer support is prompt by giving the information regrading the policy expiry date. I had no claim also the IDV value is good provided with the insurance policy.,mumbai,Car Insurance,I have bee using the car insurance policy with NEW INDIA ASSURANCE where the customer support is prompt by giving the information regrading the policy expiry date I had no claim also the IDV value is good provided with the insurance policy,positive,1,0,0,"customer support, IDV value",
GOOD,ICICI LOMBARD GENERAL INSURANCE,4,I have purchased the two wheeler insurance policy with the ICICI LOMBARD GENERAL INSURANCE where i had no claim experience with the policy. The premium paid was nominal also the IDV value is good with the policy. The service is good with the policy.,bangalore,Car Insurance,I have purchased the two wheeler insurance policy with the ICICI LOMBARD GENERAL INSURANCE where i had no claim experience with the policy The premium paid was nominal also the IDV value is good with the policy The service is good with the policy,positive,1,0,0,"IDV value, service",
Good Claim Experience,NATIONAL INSURANCE,4,"I believe the premium is lesser for National Insurance car policy and they have good claim ratio when compared to private sector but the service needs to be improved. I done a claim there a small damage within a week time they came and took the details and  within 15 days I got the reimbursement. I paid last premium of Rs. 10,461 for my Maruthi Baleno car.",pune,Car Insurance,I believe the premium is lesser for National Insurance car policy and they have good claim ratio when compared to private sector but the service needs to be improved I done a claim there a small damage within a week time they came and took the details and within 15 days I got the reimbursement I paid last premium of Rs 10461 for my Maruthi Baleno car,positive,0.85,0,0.15,claim ratio,premium
GOOD,ORIENTAL INSURANCE,4,I am using the policy since from last 2 years with ORIENTAL INSURANCE where they have given coverage is for bumper to bumper. The premium paid was nominal and the IDV value was good also there was a road side assistance. No claim bonus is there with the policy.,new delhi,Car Insurance,I am using the policy since from last 2 years with ORIENTAL INSURANCE where they have given coverage is for bumper to bumper The premium paid was nominal and the IDV value was good also there was a road side assistance No claim bonus is there with the policy,positive,0.99,0,0,IDV value,
Good policy,BAJAJ ALLIANZ GENERAL INSURANCE,4,"When i purchased my new car, i have bought the car insurance from Bajaj Allianz. I have made th premium amount of Rs. 33000 for the coverage amount of Rs. 9 lakhs. I do not applied for any claim till now.  For the premium amount has taken along with the loan amount.",kochi,Car Insurance,When i purchased my new car i have bought the car insurance from Bajaj Allianz I have made th premium amount of Rs 33000 for the coverage amount of Rs 9 lakhs I do not applied for any claim till now For the premium amount has taken along with the loan amount,neutral,0.32,0.53,0.15,,
Need to improve the service,NEW INDIA ASSURANCE,4,"Taken my car insurance from New India. My dealer has given the policy with them and I'm continuing with the same company. I pay the premium amount of Rs. 16000 for the coverage amount of Rs. 7.50 lakhs. I haven't got my no claim bonus. When i informed about the same, they were not ready to provide proper response.",kochi,Car Insurance,Taken my car insurance from New India My dealer has given the policy with them and I Am continuing with the same company I pay the premium amount of Rs 16000 for the coverage amount of Rs 750 lakhs I have not got my no claim bonus When i informed about the same they were not ready to provide proper response,negative,0.01,0.01,0.98,,
Excellent car insurance policy,NATIONAL INSURANCE,4,"I went to the dealer and he had a tie up with the National Insurance company hence i have chosen them. I paid the premium amount of Rs. 22000. They have provided me a coverage amount of Rs. 4 lakhs. They have provided me a hard copy of the documents. Its a zero depreciation policy. I get a facilities of no claim bonus, roadside assistance.",rewari,Car Insurance,I went to the dealer and he had a tie up with the National Insurance company hence i have chosen them I paid the premium amount of Rs 22000 They have provided me a coverage amount of Rs 4 lakhs They have provided me a hard copy of the documents Its a zero depreciation policy I get a facilities of no claim bonus roadside assistance,negative,0.08,0.33,0.59,,
GOOD,HDFC ERGO GENERAL INSURANCE,4,HDFC ERGO GENERAL INSURANCE is the company where i am using the car insurance policy since from last 6 months also the premium paid was nominal added on that the IDV value is nominal with the policy. The policy coverage is for bumper to bumper with the policy.,jamnagar,Car Insurance,HDFC ERGO GENERAL INSURANCE is the company where i am using the car insurance policy since from last 6 months also the premium paid was nominal added on that the IDV value is nominal with the policy The policy coverage is for bumper to bumper with the policy,neutral,0.03,0.96,0.01,,
EXCELLENT,BHARTI AXA GENERAL INSURANCE,5,I have been using the car insurance policy with the BHARTI AXA GENERAL INSURANCE where i have no claim experience also the premium paid was nominal also the IDV value was good with the policy. The policy coverage is for full also it is a good policy.,new delhi,Car Insurance,I have been using the car insurance policy with the BHARTI AXA GENERAL INSURANCE where i have no claim experience also the premium paid was nominal also the IDV value was good with the policy The policy coverage is for full also it is a good policy,positive,0.99,0.01,0,"IDV value, policy",
Need to experience the policy,NEW INDIA ASSURANCE,5,New India insurance has a tie up with Maruti since i have a Martui Swift i have chosen them. I pay the premium amount of Rs. 11000 approximately. I get a coverage value of Rs. 5.86 lakhs. I do not have any claim experience so far from the purchasing date.,jaipur,Car Insurance,New India insurance has a tie up with Maruti since i have a Martui Swift i have chosen them I pay the premium amount of Rs 11000 approximately I get a coverage value of Rs 586 lakhs I do not have any claim experience so far from the purchasing date,neutral,0.14,0.76,0.1,,
Genuine service provider,ICICI LOMBARD GENERAL INSURANCE,4,"I done one claim with ICICI Lombard during flood time, the service is good and genuine. There was no charges applicable because I have zero depreciation plan. They have tie up with many work shop and premium is higher but the service is prompt.",chennai,Car Insurance,I done one claim with ICICI Lombard during flood time the service is good and genuine There was no charges applicable because I have zero depreciation plan They have tie up with many work shop and premium is higher but the service is prompt,positive,0.99,0,0.01,"premium, service",
GOOD,NEW INDIA ASSURANCE,5,I have been using with the NEW INDIA ASSURANCE where i had claim once with the policy and i had a claim experience and i got reimbursement of 50%. The policy coverage is for bumper to bumper. I  have paid the premium was 7K and the IDV value is 80% provided.,coimbatore,Car Insurance,I have been using with the NEW INDIA ASSURANCE where i had claim once with the policy and i had a claim experience and i got reimbursement of 50 The policy coverage is for bumper to bumper I have paid the premium was 7K and the IDV value is 80 provided,neutral,0.49,0.5,0.01,,
Should be faster,,5,Last year I paid the premium of Rs. 8000 for taking comprehensive plan. I have 2013 model santro car it have good insured value. ICICI Lombard got tied up with many garages and work shops. When my wind shield got damaged they took 45 days for reimbursing the money.,new delhi,Car Insurance,Last year I paid the premium of Rs 8000 for taking comprehensive plan I have 2013 model santro car it have good insured value ICICI Lombard got tied up with many garages and work shops When my wind shield got damaged they took 45 days for reimbursing the money,positive,0.74,0,0.25,,
Good car insurance,ORIENTAL INSURANCE,5,"1 year back, i have taken my car insurance policy. Since the dealer has suggested me a policy with the oriental i have chosen them. I am paying the premium amount of Rs. 9000 for the coverage value of Rs. 1.30 lakhs and iâ??m satisfied with it. This is covered for 100% hence zero depreciation policy. It has a facilities of road side assistance, no claim bonus etc.,",coimbatore,Car Insurance,1 year back i have taken my car insurance policy Since the dealer has suggested me a policy with the oriental i have chosen them I am paying the premium amount of Rs 9000 for the coverage value of Rs 130 lakhs and iâm satisfied with it This is covered for 100 hence zero depreciation policy It has a facilities of road side assistance no claim bonus etc,positive,0.96,0.04,0.01,,
Expecting best offer,LIBERTY GENERAL INSURANCE,4,"Earlier I had car policy with Liberty General that premium cost was higher, even at the time of renewal  I asked to negotiate the cost but they are standard of Rs. 16,000 at the same time Reliance offered me Rs.13,000 of car policy. Remaining all fine.",new delhi,Car Insurance,Earlier I had car policy with Liberty General that premium cost was higher even at the time of renewal I asked to negotiate the cost but they are standard of Rs 16000 at the same time Reliance offered me Rs13000 of car policy Remaining all fine,positive,0.92,0.04,0.04,,
Best in the market,RELIANCE GENERAL INSURANCE,5,"I took Reliance policy for my car, the cost was very lower around Rs. 3000 its lesser than other company because they running some offers. I paid the premium Rs.13,000 for one year, for the zero depreciation but there is no claim experience. The customer service is very proactive and they send the paper on time.",new delhi,Car Insurance,I took Reliance policy for my car the cost was very lower around Rs 3000 its lesser than other company because they running some offers I paid the premium Rs13000 for one year for the zero depreciation but there is no claim experience The customer service is very proactive and they send the paper on time,positive,0.64,0.25,0.11,"paper, Reliance policy, customer service, cost",
GOOD,ROYAL SUNDARAM GENERAL INSURANCE,5,I have been using the car insurance policy with ROYAL SUNDARAM GENERAL INSURANCE and using from lat few years also i had claim experience and i got claim of 90% with the policy. The policy coverage is for basic also the intimation given regarding the policy expirey date.,chennai,Car Insurance,I have been using the car insurance policy with ROYAL SUNDARAM GENERAL INSURANCE and using from lat few years also i had claim experience and i got claim of 90 with the policy The policy coverage is for basic also the intimation given regarding the policy expirey date,neutral,0.13,0.85,0.02,,
EXCELLENT,ICICI LOMBARD GENERAL INSURANCE,5,"I have been using the car insurance policy with ICICI LOMBARD GENERAL INSURANCE since from lats few years for my car Hyundai, i had once claim and i got 100% claim. The premium was nominal also IDV value is good with the policy. There is a coverage of bumper to bumper.",chennai,Car Insurance,I have been using the car insurance policy with ICICI LOMBARD GENERAL INSURANCE since from lats few years for my car Hyundai i had once claim and i got 100 claim The premium was nominal also IDV value is good with the policy There is a coverage of bumper to bumper,positive,0.96,0.04,0,value,
Good claim experience,HDFC ERGO GENERAL INSURANCE,5,They do have unlimited claim and the premium is not much higher. They have a facility of paying the premium on installment and the last installment should be paid by last months. Their customer care people very polite. I do have a claim experience and its good.,faridabad,Car Insurance,They do have unlimited claim and the premium is not much higher They have a facility of paying the premium on installment and the last installment should be paid by last months Their customer care people very polite I do have a claim experience and its good,positive,1,0,0,"customer care people, claim experience",
Good policy,RELIANCE GENERAL INSURANCE,4,"I do not have any claim experience with Reliance. The premium is quite high compared to others. I have been paying the premium of Rs. 58000 per year and i do not have any claim experience. The IDV value is satisfactory one which is 12.25 lakhs. They have a roadside assistance, no claim bonus options.",faridabad,Car Insurance,I do not have any claim experience with Reliance The premium is quite high compared to others I have been paying the premium of Rs 58000 per year and i do not have any claim experience The IDV value is satisfactory one which is 1225 lakhs They have a roadside assistance no claim bonus options,positive,0.88,0.02,0.1,"premium, IDV value",
Good claim experience,ROYAL SUNDARAM GENERAL INSURANCE,4,"I do have car insurance, I faced self accident claim due to the parking. The car part got repaired because I took zero depreciation from the authorized dealer. The policy cost is reasonable for the amount of Rs. 14, 000 for one year. I have 2016 model car.",bangalore,Car Insurance,I do have car insurance I faced self accident claim due to the parking The car part got repaired because I took zero depreciation from the authorized dealer The policy cost is reasonable for the amount of Rs 14 000 for one year I have 2016 model car,negative,0.01,0.04,0.96,,
Faster Claim settlement,NEW INDIA ASSURANCE,5,Maruthi  brokerage is linked with New India hence I took car insurance. Some body have scratched my car hence I went for zero depreciation plan within two days they rectified my issue and return the vehicle. I paid some additional charges for availing zero dep.,mumbai,Car Insurance,Maruthi brokerage is linked with New India hence I took car insurance Some body have scratched my car hence I went for zero depreciation plan within two days they rectified my issue and return the vehicle I paid some additional charges for availing zero dep,negative,0,0.01,0.98,,
Average Policy,ROYAL SUNDARAM GENERAL INSURANCE,5,"Till now i did not get any complaints from Royal  Sundaram  car insurance. Its a zero depreciation policy and i have paid the premium amount of Rs. 15000. They are providing the facility road side assistance, no claim bonus. Their customer care service is not that much good.",hyderabad,Car Insurance,Till now i did not get any complaints from Royal Sundaram car insurance Its a zero depreciation policy and i have paid the premium amount of Rs 15000 They are providing the facility road side assistance no claim bonus Their customer care service is not that much good,negative,0.04,0,0.96,customer care service,Royal Sundaram car insurance
GOOD,ICICI LOMBARD GENERAL INSURANCE,5,"I am using the car insurance policy with ICICI LOMBARD GENERAL INSURANCE since from last 2015 and i had no claim experience with the policy but the premium paid was 8468 rupees, IDV value is 4L 88K. The policy coverage i am not aware but it is good.",new delhi,Car Insurance,I am using the car insurance policy with ICICI LOMBARD GENERAL INSURANCE since from last 2015 and i had no claim experience with the policy but the premium paid was 8468 rupees IDV value is 4L 88K The policy coverage i am not aware but it is good,positive,0.97,0.01,0.01,policy coverage,
Services are good,ICICI LOMBARD GENERAL INSURANCE,5,I have chosen ICICI Lombard for my car insurance because of the customer services. They are reachable when ever I contact them. They have also offered me a good policy coverage. There is a road side assistance and also it is a bumper to bumper policy. The premium is of 6K .,new delhi,Car Insurance,I have chosen ICICI Lombard for my car insurance because of the customer services They are reachable when ever I contact them They have also offered me a good policy coverage There is a road side assistance and also it is a bumper to bumper policy The premium is of 6K,positive,1,0,0,"customer services, policy coverage",
Very Good policy,NATIONAL INSURANCE,5,"When i purchase my car, the dealer has given me a policy from National. In National, they are giving a claim upto 100% only two times and for the third claim only 50% is covered. Since i have a Maruti car, they have a tie up with all the insurance companies. I had a good claim experience.",chennai,Car Insurance,When i purchase my car the dealer has given me a policy from National In National they are giving a claim upto 100 only two times and for the third claim only 50 is covered Since i have a Maruti car they have a tie up with all the insurance companies I had a good claim experience,positive,0.91,0.09,0.01,claim experience,
Good Policy,HDFC ERGO GENERAL INSURANCE,5,I have chosen HDFC ergo for my car insurance because they have given me a multiple claim policy. I can do a claim for multiple with 100% claim. Its a zero depreciation policy. I paid the premium amount of Rs. 13000. I got the IDV value of 80%. They used to process the claim very fast and they will take care of the claim with garage people.,chennai,Car Insurance,I have chosen HDFC ergo for my car insurance because they have given me a multiple claim policy I can do a claim for multiple with 100 claim Its a zero depreciation policy I paid the premium amount of Rs 13000 I got the IDV value of 80 They used to process the claim very fast and they will take care of the claim with garage people,positive,0.98,0.01,0,,
GOOD,ROYAL SUNDARAM GENERAL INSURANCE,5,I am using the car insurance policy with ROYAL SUNDARAM GENERAL INSURANCE where using the policy from last 4 years also the policy coverage is for bumper to bumper added on that the premium paid was nominal and IDV value gives based upon age of the car. There was road side assistance.,bangalore,Car Insurance,I am using the car insurance policy with ROYAL SUNDARAM GENERAL INSURANCE where using the policy from last 4 years also the policy coverage is for bumper to bumper added on that the premium paid was nominal and IDV value gives based upon age of the car There was road side assistance,positive,0.66,0.34,0.01,,
Its better,NATIONAL INSURANCE,4,"I am having car policy with National Insurance, from the beginning I am maintain car insurance with their end. The premium was also reasonable last time I paid around Rs.3000 its only for the third party cover, they don't have road side and 24 hours for this particular plan.",gandhidham,Car Insurance,I am having car policy with National Insurance from the beginning I am maintain car insurance with their end The premium was also reasonable last time I paid around Rs3000 its only for the third party cover they do not have road side and 24 hours for this particular plan,neutral,0.13,0.72,0.15,premium,
Good experiece for a first time,BAJAJ ALLIANZ GENERAL INSURANCE,4,"I have a car insurance with Bajaj Allianz and its been a year. My experience was good and had one claim, they have provided me 99% of cover and the process was easy. Even the customer service is good. I opted for whole covered third party insurance which includes bumper to bumper and RSA. The premium is higher so have been looking for the new insurer.",vadodara,Car Insurance,I have a car insurance with Bajaj Allianz and its been a year My experience was good and had one claim they have provided me 99 of cover and the process was easy Even the customer service is good I opted for whole covered third party insurance which includes bumper to bumper and RSA The premium is higher so have been looking for the new insurer,positive,1,0,0,"premium, experience, customer service, process",
Recommendable policy,NEW INDIA ASSURANCE,5,"I paid to New India Assurance around Rs.4000 for car policy because my car policy belongs to 10 years old. They do have road side assistance, 24 hours service and I availed third party insurance. The insured value is good, the renewal process was easy through online and offline, I get the policy copy through email.",chandigarh,Car Insurance,I paid to New India Assurance around Rs4000 for car policy because my car policy belongs to 10 years old They do have road side assistance 24 hours service and I availed third party insurance The insured value is good the renewal process was easy through online and offline I get the policy copy through email,positive,1,0,0,"insured value, renewal process",
Its Good,ICICI LOMBARD GENERAL INSURANCE,5,"For my previous car I had ICICI lombard, it was comprehensive fortunately I didn't have any claim at all. Even I didn't go any where, they have online renewal process. I took swift 2012 model, at the time the premium was higher but its recommendable from my end.",chandigarh,Car Insurance,For my previous car I had ICICI lombard it was comprehensive fortunately I did not have any claim at all Even I did not go any where they have online renewal process I took swift 2012 model at the time the premium was higher but its recommendable from my end,positive,0.99,0,0,"premium, ICICI lombard",
Good Claim Experience,,5,"I had big accident at last year, they covered upto 2.5 lakhs its covered fully not even I spend single penny from my pocket, they have own terms, the claim process was easy. Everything was simpler, Bharthi Axa is providing bumper to bumper I paid around Rs. 36,000 for one year.",chandigarh,Car Insurance,I had big accident at last year they covered upto 25 lakhs its covered fully not even I spend single penny from my pocket they have own terms the claim process was easy Everything was simpler Bharthi Axa is providing bumper to bumper I paid around Rs 36000 for one year,negative,0.28,0,0.72,claim process,
GOOD,NATIONAL INSURANCE,4,"I had no claim experience with NATIONAL INSURANCE and using from last more than 8-9 years. The premium paying was nominal than others when compared also the IDV value was nominal. The policy coverage is for bumper to bumper and also they are no claim, road side assistance is there.",mumbai,Car Insurance,I had no claim experience with NATIONAL INSURANCE and using from last more than 89 years The premium paying was nominal than others when compared also the IDV value was nominal The policy coverage is for bumper to bumper and also they are no claim road side assistance is there,negative,0.2,0.19,0.61,,
GOOD,IFFCO TOKIO GENERAL INSURANCE,5,I am using the car insurance policy with IFFCO TOKIO GENERAL INSURANCE and using from last 2013 and i no claim experience also coverage is for bumper to bumper for full coverage. The premium and the IDV value is good compared to the others. There are benefits of road assistance is not there.,bangalore,Car Insurance,I am using the car insurance policy with IFFCO TOKIO GENERAL INSURANCE and using from last 2013 and i no claim experience also coverage is for bumper to bumper for full coverage The premium and the IDV value is good compared to the others There are benefits of road assistance is not there,positive,0.99,0,0,"premium, IDV value",
Nice price,BHARTI AXA GENERAL INSURANCE,4,They have provided me a good IDV value for the less premium amount. The Policybazaar people has taken the initiative they have assisting the policy while i purchasing the policy. I have paid the premium amount of Rs. 4500 for the IDV value of Rs. 3.5 lakhs. Its a comprehensive policy. They are provided me a no claim bonus and i do not have any claim experience till now.,bangalore,Car Insurance,They have provided me a good IDV value for the less premium amount The Policybazaar people has taken the initiative they have assisting the policy while i purchasing the policy I have paid the premium amount of Rs 4500 for the IDV value of Rs 35 lakhs Its a comprehensive policy They are provided me a no claim bonus and i do not have any claim experience till now,positive,1,0,0,policy,
Recommendable policy,UNITED INDIA INSURANCE,3,"Since my friend is working in United India hence i have chosen the car insurance policy from them. Since the car is 5 years old, they won't provide the zero depreciation policy and its a third party policy. I have paid the premium amount of Rs. 1800 and the premium is very less and the coverage amount is less than lakhs. I have got my no claim bonus and i don't have any claim experience with them. They have sent the hard copy of the documents to the customer's address without any request.",mumbai,Car Insurance,Since my friend is working in United India hence i have chosen the car insurance policy from them Since the car is 5 years old they will not provide the zero depreciation policy and its a third party policy I have paid the premium amount of Rs 1800 and the premium is very less and the coverage amount is less than lakhs I have got my no claim bonus and i do not have any claim experience with them They have sent the hard copy of the documents to the customers address without any request,negative,0.03,0.01,0.95,,premium
